Station,Year,Month,Day,Night,DayLimit,NightLimit
BEN01,2011,2,66,56,55,45
BEN01,2011,3,66,58,55,45
BEN01,2011,4,66,57,55,45
BEN01,2011,5,66,56,55,45
BEN01,2011,6,67,57,55,45
BEN01,2011,7,67,57,55,45
BEN01,2011,8,67,59,55,45
BEN01,2011,9,66,56,55,45
BEN01,2011,10,66,56,55,45
BEN01,2011,11,66,56,55,45
BEN01,2011,12,67,58,55,45
BEN02,2011,2,56,52,65,55
BEN02,2011,3,57,52,65,55
BEN02,2011,4,56,52,65,55
BEN02,2011,5,57,53,65,55
BEN02,2011,6,59,54,65,55
BEN02,2011,7,60,56,65,55
BEN02,2011,8,58,58,65,55
BEN02,2011,9,55,54,65,55
BEN02,2011,10,54,53,65,55
BEN02,2011,11,55,53,65,55
BEN02,2011,12,55,53,65,55
BEN03,2011,2,64,51,55,45
BEN03,2011,3,53,46,55,45
BEN03,2011,4,54,47,55,45
BEN03,2011,5,56,48,55,45
BEN03,2011,6,60,51,55,45
BEN03,2011,7,59,48,55,45
BEN03,2011,8,58,48,55,45
BEN03,2011,9,57,48,55,45
BEN03,2011,10,55,47,55,45
BEN03,2011,11,55,47,55,45
BEN03,2011,12,55,46,55,45
BEN04,2011,2,65,58,65,55
BEN04,2011,3,65,58,65,55
BEN04,2011,4,65,58,65,55
BEN04,2011,5,65,58,65,55
BEN04,2011,6,68,57,65,55
BEN04,2011,7,68,57,65,55
BEN04,2011,8,66,58,65,55
BEN04,2011,9,66,57,65,55
BEN04,2011,10,67,59,65,55
BEN04,2011,11,68,59,65,55
BEN04,2011,12,67,59,65,55
BEN05,2011,2,58,59,75,70
BEN05,2011,3,56,55,75,70
BEN05,2011,4,54,51,75,70
BEN05,2011,5,55,52,75,70
BEN05,2011,6,54,51,75,70
BEN05,2011,7,57,53,75,70
BEN05,2011,8,59,55,75,70
BEN05,2011,9,57,56,75,70
BEN05,2011,10,56,56,75,70
BEN05,2011,11,57,76,75,70
BEN05,2011,12,56,49,75,70
CHE01,2011,2,65,50,50,40
CHE01,2011,3,64,51,50,40
CHE01,2011,4,65,52,50,40
CHE01,2011,5,64,53,50,40
CHE01,2011,6,64,53,50,40
CHE01,2011,7,64,53,50,40
CHE01,2011,8,64,53,50,40
